Name,API Name,Instance Memory,Compute Units (ECU),vCPUs,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,VPC Only,Placement Group Support,Linux Virtualization,On EMR,Linux On Demand,Linux Reserved cost,RHEL On Demand cost,RHEL Reserved cost,SLES On Demand cost,SLES Reserved cost,Windows On Demand cost,Windows Reserved cost,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,EMR cost
R7I 24xlarge,r7i.24xlarge,768 GiB,0 units,96 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,37.5 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$7.6104 hourly,$5.0287 hourly,$9.9912 hourly,$7.4095 hourly,$7.7354 hourly,$5.0886 hourly,$12.0264 hourly,$9.4447 hourly,$13.6488 hourly,$11.0671 hourly,$23.5464 hourly,$20.9647 hourly,$48.0264 hourly,$45.4447 hourly,$9.2328 hourly,$6.6511 hourly,$19.1304 hourly,$16.5487 hourly,$43.6104 hourly,$41.0287 hourly,$1.5876 hourly
U-12TB1 Metal,u-12tb1.metal,12288 GiB,0 units,448 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Skylake),unknown,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,100 Gigabit,N/A,0 MB/s,0 IOPS,No,N/A,N/A,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R4 High-Memory Large,r4.large,15.25 GiB,8 units,2 vCPUs,0,,0 GiB,0,0,4.0000 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,425 Mbps,53.125 MB/s,3000 IOPS,No,30,3,Yes,Yes,Yes,Unknown,No,$0.1596 hourly,$0.1008 hourly,$0.2238 hourly,$0.1646 hourly,$0.2596 hourly,$0.1338 hourly,$0.2516 hourly,$0.1928 hourly,$0.3226 hourly,$0.2638 hourly,$0.7320 hourly,$0.6728 hourly,unavailable,unavailable,$0.2276 hourly,$0.1684 hourly,$0.6400 hourly,$0.5808 hourly,unavailable,unavailable,unavailable
I4I Large,i4i.large,16 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,468 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.2060 hourly,$0.1340 hourly,$0.2700 hourly,$0.1980 hourly,$0.2620 hourly,$0.1590 hourly,$0.2980 hourly,$0.2260 hourly,$0.3650 hourly,$0.2940 hourly,$0.7780 hourly,$0.7060 hourly,$1.7980 hourly,$1.7260 hourly,$0.2730 hourly,$0.2020 hourly,$0.6860 hourly,$0.6140 hourly,$1.7060 hourly,$1.6340 hourly,unavailable
X2GD Large,x2gd.large,32 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,118 GB NVMe SSD,Yes,No,arm64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M8GD 48xlarge,m8gd.48xlarge,768 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,11400 GB (6×1900 GB NVMe SSD),Yes,No,arm64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C8GD Extra Large,c8gd.xlarge,8 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,237 GB NVMe SSD,Yes,No,arm64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R7G 16xlarge,r7g.16xlarge,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,30 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$4.1075 hourly,$2.7141 hourly,$5.6947 hourly,$4.3013 hourly,$4.2325 hourly,$2.7740 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.8568 hourly
R5B 16xlarge,r5b.16xlarge,512 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,20 Gigabit,40000 Mbps,5000 MB/s,173333 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$5.7920 hourly,$3.6490 hourly,$6.4832 hourly,$4.3402 hourly,$5.9170 hourly,$3.7090 hourly,$8.7360 hourly,$6.5930 hourly,$9.8176 hourly,$7.6746 hourly,$16.4160 hourly,$14.2730 hourly,$32.7360 hourly,$30.5930 hourly,$6.8736 hourly,$4.7306 hourly,$13.4720 hourly,$11.3290 hourly,$29.7920 hourly,$27.6490 hourly,$0.2700 hourly
R5AD 12xlarge,r5ad.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7571,2.5 GHz,unknown,unknown,unknown,unknown,1800 GB (2×900 GB NVMe SSD),Yes,No,x86_64,10 Gigabit,6780 Mbps,847.5 MB/s,30000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.8160 hourly,$2.4040 hourly,$5.0060 hourly,$3.5940 hourly,$3.9410 hourly,$2.4640 hourly,$6.0240 hourly,$4.6120 hourly,$6.8350 hourly,$5.4230 hourly,$11.7840 hourly,$10.3720 hourly,$24.0240 hourly,$22.6120 hourly,$4.6270 hourly,$3.2150 hourly,$9.5760 hourly,$8.1640 hourly,$21.8160 hourly,$20.4040 hourly,$0.2700 hourly
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384 GiB,0 units,96 vCPUs,4,NVIDIA L4,96 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,3760 GB (4×940 GB NVMe SSD),Yes,No,x86_64,50 Gigabit,30000 Mbps,3750 MB/s,120000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,Yes,$8.6791 hourly,$5.6501 hourly,$9.7159 hourly,$6.6869 hourly,$8.8041 hourly,$5.7100 hourly,$13.0951 hourly,$10.0661 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$1.6688 hourly
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,128 GiB,0 units,32 vCPUs,1,NVIDIA L4,24 GiB,8.9,0,0.0000 units,AMD EPYC 7R13 Processor,2.6 GHz,unknown,unknown,unknown,unknown,900 GB (2×450 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,16000 Mbps,2000 MB/s,64000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.6191 hourly,$1.7050 hourly,$3.4127 hourly,$2.4987 hourly,$2.7441 hourly,$1.7650 hourly,$4.0911 hourly,$3.1770 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.5036 hourly
C6GD Double Extra Large,c6gd.2xlarge,16 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,474 GB NVMe SSD,Yes,No,arm64,Up to 10 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.4040 hourly,$0.2520 hourly,$0.5192 hourly,$0.3672 hourly,$0.5290 hourly,$0.3120 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.0768 hourly
C7G 12xlarge,c7g.12xlarge,96 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.2646 hourly,$1.4952 hourly,$2.7830 hourly,$2.0136 hourly,$2.3896 hourly,$1.5551 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.4350 hourly
G4AD Double Extra Large,g4ad.2xlarge,32 GiB,0 units,8 vCPUs,1,AMD Radeon Pro V520,8 GiB,0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,unknown,unknown,unknown,unknown,300 GB NVMe SSD,Yes,No,x86_64,Up to 10 Gigabit,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8,2,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M7G Large,m7g.large,8 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1020 hourly,$0.0675 hourly,$0.1308 hourly,$0.0963 hourly,$0.1583 hourly,$0.0925 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C6IN 32xlarge,c6in.32xlarge,256 GiB,0 units,128 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,Yes,800,16,Yes,Yes,Yes,Unknown,Yes,$9.4752 hourly,$5.9694 hourly,$12.0480 hourly,$8.5422 hourly,$9.6002 hourly,$6.0293 hourly,$15.3632 hourly,$11.8574 hourly,$17.5264 hourly,$14.0206 hourly,$30.7232 hourly,$27.2174 hourly,$63.3632 hourly,$59.8574 hourly,$11.6384 hourly,$8.1326 hourly,$24.8352 hourly,$21.3294 hourly,$57.4752 hourly,$53.9694 hourly,$1.8144 hourly
T2 Small,t2.small,2 GiB,0 units,1 vCPUs (4h 48m burst),0,,0 GiB,0,0,0.0000 units,Intel Xeon Family,Up to 3.3 GHz,Yes,unknown,unknown,Yes,EBS only,N/A,N/A,"i386, x86_64",Low to Moderate,N/A,0 MB/s,0 IOPS,No,12,3,No,Yes,No,Unknown,No,$0.0292 hourly,$0.0196 hourly,$0.0436 hourly,$0.0340 hourly,$0.0592 hourly,$0.0370 hourly,$0.0384 hourly,$0.0288 hourly,$0.1094 hourly,$0.0998 hourly,unavailable,unavailable,unavailable,unavailable,$0.0968 hourly,$0.0872 hourly,unavailable,unavailable,unavailable,unavailable,unavailable
R8G Large,r8g.large,16 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1412 hourly,$0.0933 hourly,$0.1700 hourly,$0.1221 hourly,$0.1975 hourly,$0.1183 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C6G Eight Extra Large,c6g.8xlarge,64 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$1.4208 hourly,$0.8951 hourly,$2.2144 hourly,$1.6887 hourly,$1.5458 hourly,$0.9551 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2720 hourly
X2GD Eight Extra Large,x2gd.8xlarge,512 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,1900 GB NVMe SSD,Yes,No,arm64,12 Gigabit,9500 Mbps,1187.5 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C7I-FLEX Large,c7i-flex.large,4 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,$0.1107 hourly,$0.0731 hourly,$0.1745 hourly,$0.1369 hourly,$0.1670 hourly,$0.0981 hourly,$0.1981 hourly,$0.1605 hourly,$0.2657 hourly,$0.2281 hourly,$0.6781 hourly,$0.6405 hourly,unavailable,unavailable,$0.1783 hourly,$0.1407 hourly,$0.5907 hourly,$0.5531 hourly,unavailable,unavailable,unavailable
R6IDN Double Extra Large,r6idn.2xlarge,64 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon 8375C (Ice Lake),3.5 GHz,Yes,Yes,Yes,Yes,474 GB NVMe SSD,Yes,No,x86_64,Up to 40 Gigabit,25000 Mbps,3125 MB/s,100000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.9547 hourly,$0.6015 hourly,$1.2099 hourly,$0.8567 hourly,$1.0797 hourly,$0.6614 hourly,$1.3227 hourly,$0.9695 hourly,$1.4579 hourly,$1.1047 hourly,$2.2827 hourly,$1.9295 hourly,$4.3227 hourly,$3.9695 hourly,$1.0899 hourly,$0.7367 hourly,$1.9147 hourly,$1.5615 hourly,$3.9547 hourly,$3.6015 hourly,$0.1954 hourly
C6GD 12xlarge,c6gd.12xlarge,96 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,2850 GB (2×1425 GB NVMe SSD),Yes,No,arm64,20 Gigabit,14250 Mbps,1781.25 MB/s,50000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.4240 hourly,$1.5121 hourly,$2.9424 hourly,$2.0305 hourly,$2.5490 hourly,$1.5721 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.4608 hourly
IM4GN Extra Large,im4gn.xlarge,16 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,2.5 GHz,unknown,unknown,unknown,unknown,1875 GB NVMe SSD,Yes,No,arm64,Up to 25 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.4361 hourly,$0.2814 hourly,$0.4937 hourly,$0.3390 hourly,$0.4924 hourly,$0.3314 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.0909 hourly
G4AD 16xlarge,g4ad.16xlarge,256 GiB,0 units,64 vCPUs,4,AMD Radeon Pro V520,32 GiB,0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,unknown,unknown,unknown,unknown,2400 GB (2×1200 GB NVMe SSD),Yes,No,x86_64,25 Gigabit,6300 Mbps,787.5 MB/s,26667 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
M5DN Large,m5dn.large,8 GiB,0 units,2 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,unknown,unknown,unknown,unknown,75 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,18750 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
C7GN Eight Extra Large,c7gn.8xlarge,64 GiB,0 units,32 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,100 Gigabit,20000 Mbps,2500 MB/s,80000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R6A Metal,r6a.metal,1536 GiB,0 units,192 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 7R13 Processor,3.6 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,50 Gigabit,40000 Mbps,5000 MB/s,240000 IOPS,Yes,750,15,Yes,Yes,Yes,Unknown,No,$13.0464 hourly,$8.6207 hourly,$16.9056 hourly,$12.4799 hourly,$13.1714 hourly,$8.6806 hourly,$21.8784 hourly,$17.4527 hourly,$25.1232 hourly,$20.6975 hourly,$44.9184 hourly,$40.4927 hourly,$93.8784 hourly,$89.4527 hourly,$16.2912 hourly,$11.8655 hourly,$36.0864 hourly,$31.6607 hourly,$85.0464 hourly,$80.6207 hourly,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,0 units,8 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton Processor,2.3 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 10 Gigabit,3500 Mbps,437.5 MB/s,20000 IOPS,Yes,60,4,No,Yes,Yes,Unknown,No,$0.2664 hourly,$0.1678 hourly,$0.5216 hourly,$0.4230 hourly,$0.3914 hourly,$0.2278 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
HPC6ID 32xlarge,hpc6id.32xlarge,1024 GiB,0 units,64 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Icelake),3.5 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,200 Gigabit,N/A,0 MB/s,0 IOPS,No,N/A,N/A,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R5B Extra Large,r5b.xlarge,32 GiB,0 units,4 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),3.1 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,10000 Mbps,1250 MB/s,43333 IOPS,Yes,60,4,Yes,Yes,Yes,Unknown,Yes,$0.3620 hourly,$0.2281 hourly,$0.4896 hourly,$0.3557 hourly,$0.4183 hourly,$0.2781 hourly,$0.5460 hourly,$0.4121 hourly,$0.6136 hourly,$0.4797 hourly,$1.0260 hourly,$0.8921 hourly,$2.0460 hourly,$1.9121 hourly,$0.4296 hourly,$0.2957 hourly,$0.8420 hourly,$0.7081 hourly,$1.8620 hourly,$1.7281 hourly,$0.0745 hourly
M6G 12xlarge,m6g.12xlarge,192 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton2 Processor,unknown,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,20 Gigabit,14250 Mbps,1781.25 MB/s,50000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$2.3040 hourly,$1.4515 hourly,$2.8224 hourly,$1.9699 hourly,$2.4290 hourly,$1.5115 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.4620 hourly
C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,32 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),3.2 GHz,Yes,Yes,Yes,Yes,EBS only,N/A,N/A,x86_64,Up to 12.5 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,$0.8858 hourly,$0.5848 hourly,$1.0586 hourly,$0.7577 hourly,$1.0108 hourly,$0.6448 hourly,$1.5850 hourly,$1.2840 hourly,$1.8554 hourly,$1.5545 hourly,$3.5050 hourly,$3.2041 hourly,$7.5850 hourly,$7.2840 hourly,$1.1562 hourly,$0.8552 hourly,$2.8058 hourly,$2.5048 hourly,$6.8858 hourly,$6.5849 hourly,unavailable
P3 High Performance GPU Eight Extra Large,p3.8xlarge,244 GiB,97 units,32 vCPUs,4,NVIDIA Tesla V100,64 GiB,7,0,3.0313 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,10 Gigabit,7000 Mbps,875 MB/s,40000 IOPS,No,240,8,Yes,Yes,Yes,Unknown,Yes,$16.9360 hourly,unavailable,$17.7300 hourly,unavailable,$17.0360 hourly,unavailable,$18.4080 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2700 hourly
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122 GiB,58 units,16 vCPUs,1,NVIDIA Tesla M60,8 GiB,5.2,0,3.6250 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,unknown,Yes,EBS only,N/A,N/A,x86_64,Up to 10 Gigabit,N/A,0 MB/s,0 IOPS,No,N/A,N/A,Yes,Yes,Yes,Unknown,Yes,$1.7540 hourly,unavailable,$2.1508 hourly,unavailable,$1.8540 hourly,unavailable,$2.4900 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2700 hourly
G4DN Quadruple Extra Large,g4dn.4xlarge,64 GiB,0 units,16 vCPUs,1,NVIDIA T4 Tensor Core,16 GiB,7.5,0,0.0000 units,Intel Xeon Family,2.5 GHz,Yes,Yes,Yes,Yes,225 GB NVMe SSD,Yes,No,x86_64,Up to 25 Gigabit,4750 Mbps,593.75 MB/s,20000 IOPS,Yes,30,3,Yes,Yes,Yes,Unknown,Yes,$1.5660 hourly,$0.9860 hourly,$1.7380 hourly,$1.1590 hourly,$1.6910 hourly,$1.0460 hourly,$2.3020 hourly,$1.7220 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.2700 hourly
M8G Quadruple Extra Large,m8g.4xlarge,64 GiB,0 units,16 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton4 Processor,2.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,Up to 15 Gigabit,10000 Mbps,1250 MB/s,40000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,No,$0.8976 hourly,$0.5938 hourly,$1.2944 hourly,$0.9906 hourly,$1.0226 hourly,$0.6537 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
HPC7A 12xlarge,hpc7a.12xlarge,768 GiB,0 units,24 vCPUs,0,,0 GiB,0,0,0.0000 units,AMD EPYC 9R14 Processor,3.7 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,x86_64,300 Gigabit,N/A,0 MB/s,0 IOPS,No,N/A,N/A,Yes,Yes,Yes,Unknown,No,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
R7G 12xlarge,r7g.12xlarge,384 GiB,0 units,48 vCPUs,0,,0 GiB,0,0,0.0000 units,AWS Graviton3 Processor,2.5 GHz,unknown,unknown,unknown,unknown,EBS only,N/A,N/A,arm64,22.5 Gigabit,15000 Mbps,1875 MB/s,60000 IOPS,Yes,240,8,Yes,Yes,Yes,Unknown,Yes,$3.0806 hourly,$2.0356 hourly,$4.2710 hourly,$3.2260 hourly,$3.2056 hourly,$2.0955 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.6426 hourly
